,name,radius,mass,distance
318,WISE 1959-3338,37.2,,
319,WISE 2030+0749,34.2,,
320,WISE 2014+0424,96.2,,
321,WISE 2015+6646,50.6,,
322,WISE 2018-7423,47.9,,
323,WISE 2019-1148,42.4,,
324,WISE 2056+1459,24.5,,
325,WISE 2134-7137,42.7,,
326,WISE 2157+2659,61.6,,
327,WISE 2209-2734,46,,
328,WISE 2213+0911,58.7,,
329,WISE 2220-3628,26.4,,
330,WISE 2226+0440,45,,
331,WISE 2237-0614,53.5,,
332,WISE 2237+7228,46,,
333,WISE 2239+1617,59.7,,
334,WISE 2255-3118,44.7,,
335,WISE 2301+0216,60.7,,
336,WISE 2313-8037,35.9,,
337,WISE 2319-1844,52.2,,
338,WISE 2325-4105,37.5,,
339,WISE 2327-2730,70.8,,
340,WISE 2335+4222,90.3,,
341,WISE 2340-0745,37.8,,
342,WISE 2342+0856,51.2,,
343,WISE 2343-7418,48.6,,
344,WISE 2344+1034,46,,
345,WISE 2348-1028,54.1,,
346,WISE 2357+1227,54.8,,
347,WISE 2359-7335,42.7,,
348,WISEA 1101+5400,111,,
349,2M1510,120,,
350,SDSS J000013.54+255418.6 [de],46.1,48,0.99
351,2MASS J00040288-6410358,192,19,1.63
352,LHS 102BC,,,
353,2MASS J00242463-0158201,37.7,79,1.09
354,2MASS J00250365+4759191AB,143,,
355,2MASS J00274197+0503417,236,31,1.44
356,2MASS J00275592+2219328,46.9,,
357,2MASSW J0030300-145033,87.2,54,0.98
358,2MASS J00332386-1521309 [de],131,29,1.43
359,2MASS J00345157+0523050,31,42,0.94
360,2MASS 0036+1821,28.6,42,0.94
361,2MASSW J0045214+163445,57,23,1.62
362,WISEP J004701.06+680352.1 [fr],40,12,1.3
363,2MASS J00501994-3322402 [de],34,40,0.94
364,2MASS J00034227-2822410,,,
365,2MASS J00584253-0651239 [de],96,29,1.43
366,CFBDS J005910.90–011401.3,30,23,
367,2MASSI J0103320+193536,70,52,0.98
368,SDSSp J010752.33+004156.1 [de],51,52,0.98
369,2MASSI J0117474-340325 [de],163,20,1.62
370,2MASS J01415823-4633574 [de],130,20,1.61
371,SDSS J015141.69+124429.6,70,47,0.97
372,DENIS-P J020529.0−115925A,65,,
373,DENIS-P J020529.0−115925B,65,,
374,DENIS-P J020529.0−115925C,65,,
375,SDSS J020742.48+000056.2 [de],111,47,0.97
376,2MASS J02103857-3015313,101,15,1.53
377,2MASS J02340093-6442068,155,20,1.62
378,2MASS J02411151-0326587 [de],152,27,1.41
379,2MASS J02431371−2453298,35,33,0.99
380,LP 771-21,53,78,1.08
381,2MASS J02511327+0047364,,,
382,2MASS J02535980+3206373,184,65,1.9
383,WISE J0254+0223,24,65,1.9
384,DEN 0255-4700,16.2,80,0.97
385,2MASS J03185403-3421292 [de],45,49,0.97
386,2MASS J03205965+1854233,47,88,1.15
387,2MASS J03231002-4631237,192,23,1.66
388,SDSS J032553.17+042540.1,59,45,0.95
389,2MASS J03264225-2102057 [de],80,18,1.3
390,2MASS J03284265+2302051 [de],98,54,0.98
391,2MASS J03341218-4953322,27.0,73,1.04
392,LP 944-20,20.9,73,1.43
393,2MASP J0345432+254023,88,74,1.05
394,Teide 1,380,55,3.78
395,2MASS J03510004-0052452,48,102,1.27
396,2MASS J03552337+1133437,29.8,20,1.32
397,DENIS-P J035726.9-441730 [de],130,,
398,2MASS J04151954−0935066,18.6,30,0.95
399,SDSSp J042348.57-041403.5 [de],50,,
400,2MASS J04285096-2253227 [de],85,80,1.09
401,2MASS J04351612-1606574,34,100,1.26
402,2MASS J04362788-4114465,142,39,1.97
403,2MASS J04390101-2353083 [de],29.5,48,0.97
404,2MASS J04414489+2301513,470,19,
405,2MASS J04433764+0002040,82,22,1.78
406,2MASS J04455387-3048204 [de],42,64,1.00
407,2MASS J04510093-3402150 [de],69,72,1.04
408,2MASS J05002100+0330501 [de],44,64,1.00
409,2MASS J05012406-0010452 [de],64,21,1.38
410,2MASS J05160945-0445499 [de],73,47,0.97
411,2MASS J0523−1403,40,68,1.01
412,2MASS 0532+8246,81,83,
413,SDSS J053951.99-005902.0,41.62,61,1.01
414,2MASS J05591914-1404488 [de],34,,
415,LSR 0602+3910 [de],34.6,28,1.41
416,2MASS J06085283-2753583,102,38,1.51
417,WISEP J061135.13-041024.0A,69,65,
418,WISEP J061135.13-041024.0B,69,53,
419,2MASS J06244595-4521548 [de],39,56,0.99
420,2MASS J06411840-4322329 [de],65,67,1.01
421,DENIS-P J0652197-253450 [de],51,75,1.05
422,2MASS J07003664+3157266 [de],40,,
423,2MASS J07075327-4900503,60,72,1.03
424,UGPS J072227.51-054031.2,13.4,26,0.98
425,2MASSI J0727182+171001 [de],29.6,41,0.94
426,2MASS J07290002-3954043 [de],25.8,37,0.94
427,SDSS J074201.41+205520.5 [de],49,43,0.94
428,2MASS J0746425+200032 [fr],49.6,,
429,DENIS-P J0751164-253043 [de],55,71,1.03
430,2MASS J07522390+1612157,60,68,2.01
431,DENIS J081730.0-615520,16.1,44,0.94
432,DENIS J082303.1−491201A,67,44,
433,DENIS J082303.1−491201B,67,28,
434,2MASS J08251968+2115521 [de],35,52,0.98
435,SDSSp J083008.12+482847.4 [de],43,48,0.99
436,LHS 2021,55,88,1.15
437,SDSS J083048.80+012831.1 [de],77,46,0.96
438,2MASSI J0835425-081923 [de],23.53,62,1.00
439,2MASSI J0847287-153237 [de],43,64,1.00
440,2MASS J08533619-0329321,27.6,77,1.07
441,2MASSI J0859254-194926 [de],50,50,0.98
442,2MASSW J0920122+351742 [de],95,,
443,2MASSI J0937347+293142,20.0,42,0.94
444,2MASS 0939−2448,17.4,32,0.95
445,2MASS J09490860-1545485 [de],59,49,0.96
446,2MASS J10073369-4555147,46,44,0.94
447,2MASSI J1010148-040649 [de],55,51,0.98
448,2MASSI J1017075+130839 [de],108,,
449,SDSS J102109.69-030420.1,95,,
450,2MASS J10224821+5825453 [de],60,27,1.41
451,2MASSW J1036530-344138 [de],53,49,0.97
452,2MASS J1047538+212423 [de],34.4,42,0.94
453,Luhman 16B,6.516,43,1.02
454,Luhman 16A,6.516,40,1.01
455,DENIS-P J1058.7−1548,49,64,1.00
456,TWA 28,180,36,2.39
457,Cha 110913-773444,163,8,1.8
458,OTS 44,554,15,
459,SDSS J111010.01+011613.1,63,9,1.24
460,2MASS J11145133−2618235,18.2,33,0.96
461,TWA 26,137,30,2.20
462,2MASSW J1146345+223053,89,,
463,2MASS J11544223-3400390 [de],129,37,1.50
464,2MASSW J1155395-372735 [de],31,64,1.00
465,TWA 27A,,,
466,TWA 27B,,,
467,2MASS J12074836-3900043,217,17,1.71
468,2MASSI J1217110-031113 [de],36,42,0.94
469,2MASS J12255432-2739466,43,,
470,DENIS-P J1228.2-1547,66,,
471,2M 1237+6526,45.6,41,0.94
472,2MASSW J1239272+551537 [de],119,,
473,TWA 29,262,25,2.00
474,SDSSp J125453.90-012247.4 [de],38,47,0.98
475,Kelu-1A,61,63,0.98
476,Kelu-1B,61,58,0.98
477,2MASS J13204427+0409045,101,67,1.01
478,SDSSp J132629.82-003831.5 [de],65,51,0.97
479,SDSSp J134646.45-003150.4 [de],48,44,0.94
480,2MASS J13595510-4034582,51,63,1.00
481,ULAS J141623.94+134836.3,29.7,32,0.96
482,SDSS J141659.78+500626.4 [de],149,59,0.99
483,DENIS-P J142527.97-365023.4 [de],38,21,1.32
484,LHS 2924,38.5,76,1.06
485,2MASS J14392837+1929150,47,72,1.03
486,LSPM J1440+1339,72,92,1.19
487,2MASS J14482563+1031590 [de],47,59,0.99
488,CFBDSIR 1458+10A,104,11.1,1.5
489,CFBDSIR 1458+10B,104,9,1.3
490,TVLM 513-46546,35.1,75,1.05
491,2MASS 1503+2525,20.7,44,0.94
492,CFBDS J150411+102717,71,44,0.94
493,2MASSW J1506544+132106 [de],46,69,1.02
494,2MASS 1507−1627,23.9,60,0.99
495,TVLM 868-110639,53,79,1.08
496,SDSS J151114.66+060742.9 [de],89,,
497,2MASSW J1515008+484742 [de],34,57,0.99
498,2MASSI J1526140+204341 [de],67,54,0.98
499,DENIS-P J153941.96-052042.4 [de],51,63,1.00
500,2MASS J15462718-3325111 [de],37,44,0.94
501,2MASSW J1552591+294849 [de],68,30,1.43
502,2MASSW J1555157-095605 [de],44,71,1.03
503,2MASS J16150413+1340079 [de],48,42,0.94
504,SDSSp J162414.37+002915.6 [de],36,43,0.94
505,2MASS J16262034+3925190 [de],110,71,1.03
506,2MASSW J1632291+190441 [de],50,49,0.97
507,WISEPA J164715.59+563208.2,28,41,0.94
508,LSPM J1658+7027 [de],60,73,1.04
509,2MASSI J1726000+153819,114,24,1.40
510,2MASSW J1728114+394859,79,,
511,SDSSp J175032.96+175903.9,90,47,0.97
512,2MASS J18283572-4849046,39,45,0.95
513,LSR J1835+3259,18.5,77,1.07
514,2MASSW J1841086+311727,138,67,1.01
515,2MASS J18432213+4040209,46,96,1.22
516,2MASS J20004841-7523070,105,25,1.88
517,SDSS J204749.61-071818.3,65,46,0.96
518,2MASSI J2057540-025230,47,70,1.02
519,2MASSW J2101154+175658,108,,
520,2MASSI J2104149-103736,62,69,1.02
521,PSO J318.5−22,80,6.5,1.53
522,HB 2124-4228,113,94,1.21
523,2MASS J21392676+0220226,32.1,46,0.96
524,2MASS J21481628+4003593,26.3,55,0.99
525,2MASS J14112131-2119503,,,
526,2MASSW J2206450-421721,93,22,1.33
527,2MASSW J2208136+292121,154,27,1.41
528,2MASSW J2224438-015852,38,61,0.99
529,2MASS J22282889-4310262,35,42,0.94
530,2MASS J22373255+3922398,64,73,1.04
531,2MASSW J2244316+204343,56,12,1.29
532,2MASS J23224684-3133231,56,24,1.39
533,2MASS J23225299-6151275,148,17,1.59
534,2MASS J23515044-2537367,67,88,1.16
535,2MASSI J2356547-155310,74,80,1.09
536,WISE 0005+3737,23.2,,
537,WISE 0008-1739,87.1,,
538,WISE 0015-4615,48.6,,
539,WISE 0031-3840,71.8,,
540,WISE 0032-4946,62.9,,
541,WISE 0038+2758,36.9,,
542,WISE 0038+8405,101.8,,
543,WISE 0040+0900,47.6,,
544,WISE 0049+0441,62.6,,
545,WISE 0049+2151,24.1,,
546,WISE 0106+1518,142.9,,
547,WISE 0123+4142,67.2,,
548,WISE 0135+1715,77.3,,
549,WISE 0138-0322,57.7,,
550,WISE 0146+4234,20.5,,
551,WISE 0148-7202,30,,
552,WISE 0150+3827,61.3,,
553,WISE 0206+2640,58.4,,
554,WISE 0221+3842,73.1,,
555,WISE 0223-2932,47,,
556,WISE 0226-0211,91,,
557,WISE 0241-3653,53.8,,
558,WISE 0245-3450,56.1,,
559,WISE 0247+3725,57.1,,
560,WISE 0305+3954,75,,
561,WISE 0307+2904,82.8,,
562,WISE 0313+7807,28,,
563,WISE 0316+4307,106.3,,
564,WISE 0321-7347,84.8,,
565,WISE 0323-6025,45.3,,
566,WISE 0325-3854,51.2,,
567,WISE 0325+0831,36.5,,
568,WISE 0333-5856,54.8,,
569,WISE 0335+4310,45.7,,
570,WISE 0336-0143,55.4,,
571,WISE 0350-5658,17.7,,
572,WISE 0359-5401,19.2,,
573,WISE 0410+1502,20,6,1.17
574,WISE 0410+1411,85.8,,
575,WISE 0413-4750,66.2,,
576,WISE 0448-1935,69.8,,
577,WISE 0458+6434A,35.9,15,4.2
578,WISE 0458+6434B,35.9,10,3.8
579,WISE 0500-1223,47,,
580,WISE 0513+0608,44.7,,
581,WISE 0525+6739,98.2,,
582,WISE 0528-3308,57.4,,
583,WISE 0535-7500,47,,
584,WISE 0539-1034,84.8,,
585,WISE 0542-1628,50.6,,
586,WISE 0607+2429,25.4,,
587,WISE 0611-0410,57.7,,
588,WISE 0612-4920,95.2,,
589,WISE 0612-3036,64.9,,
590,WISE 0614+3912,50.2,,
591,WISE 0614+0951,51.5,,
592,WISE 0623-0456,37.5,,
593,WISE 0625+5646,67.2,,
594,WISE 0627-1114,37.2,,
595,WISE 0647-6232,28,,
596,WISE 0656+4205,54.1,,
597,WISE 0713-2917,23.2,,
598,WISE 0723+3403,45.7,,
599,WISE 0733+7544,78.3,,
600,WISE 0734-7157,34.9,,
601,WISE 0744+5628,47.3,,
602,WISE 0750+2725,51.5,,
603,WISE 0751-7634,39.1,,
604,WISE 0759-4904,38.8,,
605,WISE 0811-8051,32,,
606,WISE 0812+4021,63.6,,
607,WISE 0819-0335,46,,
608,WISE 0821+1443,68.2,,
609,WISE 0836-1859,72.4,,
610,WISE 0857+5604,42.1,,
611,WISE 0906+4735,51.5,,
612,WISE 0929+0409,64.9,,
613,WISE 0952+1955,72.1,,
614,WISE 1018-2445,47.6,,
615,WISE 1019+6529,56.8,,
616,WISE 1039-1600,47.3,,
617,WISE 1042-3842,53.2,,
618,WISE 1051-2138,40.8,,
619,WISE 1122+2550,57.7,,
620,WISE 1124-0421,50.6,,
621,WISE 1147-2040,102,,
622,WISE 1150+6302,32.9,,
623,WISE 1217+1626A,34.2,12,
624,WISE 1217+1626B,34.2,6,
625,WISE 1225-1013,55.4,,
626,WISE 1311+0122,44.4,,
627,WISE 1311+3629,86.1,,
628,WISE 1318-1758,32.9,,
629,WISE 1320+6034,56.1,,
630,WISE 1322-2340,33.9,,
631,WISE 1348+6603,91,,
632,WISE 1405+5534,25.3,30,0.86
633,WISE 1433-0837,84.8,,
634,WISE 1436-1814,60,,
635,WISE 1457+5815,52.2,,
636,WISE 1506+7027,11.1,,
637,WISE 1517+0529,72.4,,
638,WISE 1519+7009,50.9,,
639,WISE 1523+3125,84.5,,
640,WISE 1541-2250,20,,
641,WISE 1542+2230,41.1,,
642,WISE 1612-3420,55.4,,
643,WISE 1614+1739,32.6,,
644,WISE 1617+1807,50.2,,
645,WISE 1622-0959,52.2,,
646,WISE 1627+3255,50.2,,
647,WISE 1639-6847,16.3,,
648,WISE 1647+5632,28,,
649,WISE 1653+4444,39.5,,
650,WISE 1711+3500,60.3,,
651,WISE 1717+6129,72.7,,
652,WISE 1721+1117,62.3,,
653,WISE 1728+5716,97.8,,
654,WISE 1738+2732,20,,
655,WISE 1741+2553,18.9,,
656,WISE 1746-0338,83.8,,
657,WISE 1800+0134,28.7,57,
658,WISE 1804+3117,30,,
659,WISE 1809+3838,74.4,,
660,WISE 1812+2721,47,,
661,WISE 1828+2650,36,,
662,WISE 1830+4542,107,,
663,WISE 1841+7000,131.1,,
